0, daa 0, flags 246
e0, daa 46, flags 213
e1, daa 47, flags 217
e2, daa 48, flags 217
e3, daa 49, flags 213
e4, daa 4a, flags 213
e5, daa 4b, flags 217
e6, daa 4c, flags 213
e7, daa 4d, flags 217
e8, daa 4e, flags 217
e9, daa 4f, flags 213
ea, daa 50, flags 217
eb, daa 51, flags 213
ec, daa 52, flags 213
ed, daa 53, flags 217
ee, daa 54, flags 213
ef, daa 55, flags 217
f0, daa 56, flags 217
f1, daa 57, flags 213
f2, daa 58, flags 213
f3, daa 59, flags 217
f4, daa 5a, flags 217
f5, daa 5b, flags 213
f6, daa 5c, flags 217
f7, daa 5d, flags 213
f8, daa 5e, flags 213
f9, daa 5f, flags 217
fa, daa 60, flags 217
fb, daa 61, flags 213
fc, daa 62, flags 213
fd, daa 63, flags 217
fe, daa 64, flags 213
ff, daa 65, flags 217
0, daa 66, flags 217
1, daa 67, flags 213
2, daa 68, flags 213
3, daa 69, flags 217
4, daa 6a, flags 217
5, daa 6b, flags 213
6, daa 6c, flags 217
7, daa 6d, flags 213
8, daa 6e, flags 213
9, daa 6f, flags 217
a, daa 70, flags 213
b, daa 71, flags 217
c, daa 72, flags 217
d, daa 73, flags 213
e, daa 74, flags 217
f, daa 75, flags 213
10, daa 76, flags 213
11, daa 77, flags 217
12, daa 78, flags 217
13, daa 79, flags 213
14, daa 7a, flags 213
15, daa 7b, flags 217
16, daa 7c, flags 213
17, daa 7d, flags 217
18, daa 7e, flags 217
19, daa 7f, flags 213
1a, daa 80, flags 293
1b, daa 81, flags 297
1c, daa 82, flags 297
1d, daa 83, flags 293
1e, daa 84, flags 297
1f, daa 85, flags 293
20, daa 86, flags 293
21, daa 87, flags 297
22, daa 88, flags 297
23, daa 89, flags 293
24, daa 8a, flags 293
25, daa 8b, flags 297
26, daa 8c, flags 293
27, daa 8d, flags 297
28, daa 8e, flags 297
29, daa 8f, flags 293
2a, daa 90, flags 297
2b, daa 91, flags 293
2c, daa 92, flags 293
2d, daa 93, flags 297
2e, daa 94, flags 293
2f, daa 95, flags 297
30, daa 96, flags 297
31, daa 97, flags 293
32, daa 98, flags 293
33, daa 99, flags 297
34, daa 9a, flags 297
35, daa 9b, flags 293
36, daa 9c, flags 297
37, daa 9d, flags 293
38, daa 9e, flags 293
39, daa 9f, flags 297
3a, daa a0, flags 297
3b, daa a1, flags 293
3c, daa a2, flags 293
3d, daa a3, flags 297
3e, daa a4, flags 293
3f, daa a5, flags 297
40, daa a6, flags 297
41, daa a7, flags 293
42, daa a8, flags 293
43, daa a9, flags 297
44, daa aa, flags 297
45, daa ab, flags 293
46, daa ac, flags 297
47, daa ad, flags 293
48, daa ae, flags 293
49, daa af, flags 297
4a, daa b0, flags 293
4b, daa b1, flags 297
4c, daa b2, flags 297
4d, daa b3, flags 293
4e, daa b4, flags 297
4f, daa b5, flags 293
50, daa b6, flags 293
51, daa b7, flags 297
52, daa b8, flags 297
53, daa b9, flags 293
54, daa ba, flags 293
55, daa bb, flags 297
56, daa bc, flags 293
57, daa bd, flags 297
58, daa be, flags 297
59, daa bf, flags 293
5a, daa c0, flags 297
5b, daa c1, flags 293
5c, daa c2, flags 293
5d, daa c3, flags 297
5e, daa c4, flags 293
5f, daa c5, flags 297
60, daa c6, flags 297
61, daa c7, flags 293
62, daa c8, flags 293
63, daa c9, flags 297
64, daa ca, flags 297
65, daa cb, flags 293
66, daa cc, flags 297
67, daa cd, flags 293
68, daa ce, flags 293
69, daa cf, flags 297
6a, daa d0, flags 293
6b, daa d1, flags 297
6c, daa d2, flags 297
6d, daa d3, flags 293
6e, daa d4, flags 297
6f, daa d5, flags 293
70, daa d6, flags 293
71, daa d7, flags 297
72, daa d8, flags 297
73, daa d9, flags 293
74, daa da, flags 293
75, daa db, flags 297
76, daa dc, flags 293
77, daa dd, flags 297
